start_lat,start_lon,end_lat,end_lon,start_area,end_area,distance_meters,duration_seconds,duration_in_traffic_seconds,duration_per_meter
13.2028027,80.1950044,13.2064854,80.1917379,Palavoyal,Chennai,569,159,161,0.28295254833040423
13.2090027,80.1890718,13.2059162,80.1921188,Chennai,Palavoyal,541,132,131,0.24214417744916822
13.2106057,80.2012262,13.2094346,80.2050912,Red Hills,Chennai,947,279,277,0.2925026399155227
13.210498,80.205462,13.2106057,80.2012262,Chennai,Red Hills,835,238,237,0.2838323353293413
13.2093531,80.2154088,13.2039312,80.2148746,Sirugavur,Dhargaas,1075,221,216,0.20093023255813955
13.2065666,80.2224563,13.2042026,80.2195589,Sirugavur,Vilangadupakkam,509,79,79,0.15520628683693516
13.2109931,80.2194777,13.2084441,80.2220379,Sirugavur,Chennai,521,85,85,0.16314779270633398
13.2039312,80.2148746,13.2093531,80.2154088,Dhargaas,Sirugavur,1075,215,212,0.1972093023255814
13.2042029,80.2194126,13.2065705,80.2223772,Vilangadupakkam,Sirugavur,512,74,73,0.142578125
13.2000107,80.2550668,13.2042778,80.2563031,Sembiya,Kadapakkam,506,73,73,0.1442687747035573
13.2000107,80.2550668,13.2010483,80.259044,Sembiya,Kadapakkam,504,79,78,0.15476190476190477
13.1938282,80.2611407,13.198546,80.2603715,Andarkuppam,Andarkuppam,536,79,79,0.14738805970149255
13.1745233,80.1187713,13.1701462,80.118664,Phase 3,New Vellanur,596,117,116,0.19463087248322147
13.1701462,80.118664,13.1660824,80.1174302,New Vellanur,Tirumullaivayal,505,130,129,0.25544554455445545
13.1660824,80.1174302,13.1701462,80.118664,Tirumullaivayal,New Vellanur,505,130,129,0.25544554455445545
13.1701462,80.118664,13.1744554,80.1189215,New Vellanur,Phase 3,516,93,92,0.17829457364341086
13.1722825,80.1278586,13.1764416,80.1269856,Chinnanolambur,Chennai,2280,559,558,0.24473684210526317
13.1735202,80.1226997,13.169932,80.1252193,Phase 3,New Vellanur,1867,411,411,0.22013926084627744
13.169932,80.1252193,13.172084,80.1246668,New Vellanur,Chinnanolambur,1551,342,343,0.22114764667956158
13.1735202,80.1226997,13.1708095,80.1252247,Phase 3,New Vellanur,487,97,97,0.19917864476386038
13.1708095,80.1252247,13.1710602,80.124758,New Vellanur,New Vellanur,75,15,14,0.18666666666666668
13.1611624,80.1308982,13.1598889,80.1353127,Chinnanolambur,26RU,512,116,115,0.224609375
13.1546399,80.1279047,13.1526889,80.1239007,New Vellanur,New Vellanur,505,70,69,0.13663366336633664
13.1526889,80.1239007,13.1512866,80.1192047,New Vellanur,Avadi,538,80,79,0.14684014869888476
13.1512866,80.1192047,13.1535768,80.1124267,Avadi,Poompozhil Nagar,780,111,111,0.1423076923076923
13.1535768,80.1124267,13.1553397,80.1072788,Poompozhil Nagar,Priya nagar,597,86,86,0.1440536013400335
13.1420608,80.1950913,13.14527,80.198912,Lakshmipuram,Sathya Murthy Nagar,548,68,68,0.12408759124087591
13.1524762,80.2092097,13.1486455,80.2073802,Nagappa Industrial Estate,Nagappa Industrial Estate,1925,294,260,0.13506493506493505
13.1586324,80.2259199,13.1631476,80.2277502,Madhavaram,Vadaperumbakkam,662,103,82,0.12386706948640483
13.1634612,80.2278796,13.1680411,80.229791,Vadaperumbakkam,Vadaperumbakkam,551,70,49,0.08892921960072596
13.1914521,80.3133961,13.1964508,80.3145976,Netaji Nagar West,Sivakami Nagar,572,78,58,0.10139860139860139
13.194937,80.2298713,13.1968683,80.224336,Kosapur,Chennai,668,183,183,0.27395209580838326
13.1966423,80.2356571,13.1944263,80.2387369,Rajiv Gandhi Nagar General,Rajiv Gandhi Nagar General,543,70,61,0.11233885819521179
13.1828687,80.2289454,13.1791389,80.2302096,Chettimedu Village,Chettimedu Village,502,102,101,0.20119521912350596
13.1997611,80.2341605,13.2037803,80.2349178,Rajiv Gandhi Nagar General,Kadapakkam,500,82,81,0.162
13.1787236,80.211529,13.1789991,80.2111341,Ranga Garden,Ranga Garden,52,6,5,0.09615384615384616
13.1715815,80.2199769,13.1738263,80.2159847,Samuel Nagar,Samuel Nagar,508,63,51,0.10039370078740158
13.1800282,80.2099418,13.1771237,80.2136623,Ranga Garden,Ranga Garden,519,67,56,0.10789980732177264
13.1489779,80.2220731,13.1438994,80.2199174,Srinivasa Nagar,Ponniammanmedu,611,51,43,0.07037643207855974
13.1490709,80.2219973,13.1535142,80.2238306,Srinivasa Nagar,Kilburn Nagar,1785,205,177,0.09915966386554621
12.9892929,80.11953,12.9932007,80.1215957,Sadanandapuram,Sadanandapuram,839,128,117,0.1394517282479142
12.9551031,80.2368222,12.9541675,80.2315542,Sri Kumaran Nagar,Pallikaranai Marshland,888,286,285,0.32094594594594594
12.9541675,80.2315542,12.9544194,80.2261647,Pallikaranai Marshland,Chennai,4649,643,580,0.12475801247580125
13.1230096,80.0984394,13.1247965,80.0944699,Bhaktavatsala Puram,Gandhi Nagar,504,99,99,0.19642857142857142
13.1247965,80.0944699,13.1277322,80.0901705,Gandhi Nagar,Gandhi Nagar,852,154,154,0.1807511737089202
